coucode,casecode,indcode,ecorisk,dCi
3,0,8,0.0739028641517048,-0
3,0,9,0.275311418813408,0.391473964047444
3,0,10,0.146493240842816,0.698680603173254
3,0,11,0.0764655872911087,0.066120765490246
3,0,12,0.225324672685946,0.312822424503114
3,0,13,0.182179635446837,0.209671163091927
3,0,14,0.300174690528441,0.395913385381167
3,0,15,0.191749682469359,0.301215029711837
3,0,16,0.0470317589625447,-0
3,0,17,0.0188858947915034,-0
3,0,18,0.521805327744628,0.667235489132607
3,0,19,0.293070177338287,0.345419001358817
3,0,20,0.341867198972915,0.406586989490552
3,0,21,0.727446389190028,0.898372967095109
3,0,22,0.252488908381094,0.358639845330296
3,0,23,0.132820353104462,-0
3,0,24,0.303864985690974,0.847243975672859
3,0,25,0.14493661091524,-0
3,0,26,0.0916511174279022,-0
3,0,27,0.0839996590811026,-0
3,0,28,0.0474193318674239,-0
3,0,29,0.133618511583256,-0
3,0,30,0.00699183282187743,-0
3,0,31,0.00526479744389996,-0
3,0,32,0.000820270571038839,-0
3,0,33,0.616797728450536,0.735628496611681
3,0,34,0.000409135574582442,-0
4,21,1,0.0177620136747186,-0
4,21,2,0.0148386959910634,-0
4,21,3,0.0184144382940407,-0
4,21,4,0.0432222854638147,-0
4,21,5,0.0119989861948134,-0
4,21,6,0.0256179567870595,-0
4,21,7,0.012773584962297,-0
4,21,8,0.014606556897852,-0
4,21,9,0.0271004933063465,-0
4,21,10,0.0180207872991964,-0
4,21,11,0.016212106452182,-0
4,21,12,0.00672407810946685,-0
4,21,13,0.0168632160898525,-0
4,21,14,0.00496794245649723,-0
4,21,15,0.015353459849005,-0
4,21,16,0.0278052907424168,-0
4,21,17,0.0172990325322409,-0
4,21,18,0.00859100706960214,-0
4,21,19,0.0362743596607364,-0
4,21,20,0.0362858737506578,-0
4,21,21,0.859576966641118,0.879148465701802
4,21,22,0.0157383926823599,-0
4,21,23,0.0181932358138294,-0
4,21,24,0.00385805857484356,-0
4,21,25,0.017712631118232,-0
4,21,26,0.0190836652014735,-0
4,21,27,0.0335562297915575,-0
4,21,28,0.0146624994019966,-0
4,21,29,0.0282273773190523,-0
4,21,30,0.000581647098413907,-0
4,21,31,0.00421803977926638,-0
4,21,32,0.00344579539602952,-0
4,21,33,0.0835953483254677,-0
4,21,34,0.0436257268829023,NaN
4,22,1,0.00130534926825243,-0
4,22,2,0.0209575182630168,-0
4,22,3,0.000754035423331634,-0
4,22,4,0.00336535005880612,-0
4,22,5,0.00288438859057172,-0
4,22,6,0.00350410227279618,-0
4,22,7,0.025949916964951,-0
4,22,8,0.00261355378449357,-0
4,22,9,0.00645851261510044,-0
4,22,10,0.00497017883443163,-0
4,22,11,0.00550109569605717,-0
4,22,12,0.00210354150989334,-0
4,22,13,0.00527763878251042,-0
4,22,14,0.0110118180096451,-0
4,22,15,0.00347359868008934,-0
4,22,16,0.00690587056297909,-0
4,22,17,0.00266917280811807,-0
4,22,18,0.0195528892017959,-0
4,22,19,0.00852185841352671,-0
4,22,20,0.00961623262716671,-0
4,22,21,0.000221673349638296,-0
4,22,22,0.0944302256949496,0.229311132859173
